iter	Passed	Remaining
0	120	36091
1	171	25518
2	222	22027
3	268	19836
4	303	17895
5	350	17169
6	380	15917
7	414	15115
8	449	14537
9	487	14128
10	519	13646
11	548	13172
12	579	12801
13	613	12533
14	649	12347
15	689	12242
16	720	12001
17	751	11774
18	786	11629
19	816	11435
20	849	11281
21	879	11113
22	915	11020
23	954	10980
24	992	10916
25	1030	10858
26	1072	10846
27	1105	10737
28	1138	10635
29	1171	10542
30	1204	10449
31	1236	10351
32	1266	10246
33	1297	10151
34	1329	10062
35	1362	9988
36	1393	9902
37	1427	9841
38	1461	9782
39	1499	9747
40	1531	9672
41	1560	9585
42	1592	9515
43	1626	9461
44	1657	9392
45	1688	9325
46	1724	9284
47	1768	9285
48	1846	9457
49	1888	9443
50	1926	9403
51	1963	9365
52	2001	9325
53	2042	9303
54	2083	9282
55	2123	9253
56	2156	9194
57	2188	9132
58	2222	9077
59	2255	9023
60	2291	8978
61	2326	8929
62	2358	8873
63	2395	8833
64	2435	8804
65	2470	8759
66	2506	8716
67	2539	8664
68	2572	8610
69	2602	8550
70	2637	8508
71	2688	8514
72	2806	8727
73	2877	8787
74	2943	8829
75	3004	8855
76	3059	8859
77	3112	8858
78	3155	8826
79	3195	8787
80	3251	8791
81	3302	8778
82	3343	8741
83	3387	8709
84	3437	8693
85	3489	8683
86	3553	8699
87	3614	8707
88	3674	8710
89	3727	8697
90	3798	8723
91	3943	8915
92	4052	9021
93	4116	9020
94	4195	9053
95	4268	9069
96	4337	9077
97	4398	9065
98	4465	9066
99	4532	9065
100	4575	9014
101	4627	8982
102	4679	8950
103	4728	8912
104	4816	8944
105	4865	8905
106	4918	8870
107	4964	8825
108	5014	8786
109	5057	8735
110	5103	8689
111	5145	8637
112	5191	8591
113	5242	8553
114	5284	8501
115	5324	8445
116	5373	8405
117	5420	8361
118	5471	8322
119	5515	8273
120	5553	8216
121	5594	8161
122	5639	8114
123	5680	8062
124	5716	8003
125	5753	7944
126	5792	7890
127	5830	7835
128	5865	7775
129	5913	7732
130	5960	7689
131	5999	7635
132	6039	7583
133	6078	7529
134	6118	7477
135	6159	7427
136	6207	7385
137	6259	7348
138	6299	7296
139	6333	7238
140	6368	7182
141	6403	7125
142	6437	7068
143	6479	7019
144	6511	6960
145	6542	6900
146	6577	6846
147	6634	6813
148	6693	6783
149	6750	6750
150	6783	6693
151	6819	6639
152	6876	6607
153	6940	6579
154	6997	6545
155	7040	6499
156	7077	6446
157	7114	6393
158	7154	6344
159	7190	6291
160	7223	6236
161	7265	6189
162	7304	6139
163	7340	6087
164	7374	6033
165	7413	5984
166	7453	5935
167	7489	5884
168	7527	5835
169	7566	5786
170	7598	5732
171	7633	5680
172	7672	5632
173	7707	5581
174	7739	5527
175	7771	5475
176	7801	5421
177	7834	5369
178	7866	5317
179	7898	5265
180	7932	5215
181	7966	5165
182	8002	5116
183	8036	5066
184	8080	5023
185	8126	4980
186	8164	4933
187	8198	4884
188	8231	4834
189	8263	4784
190	8296	4734
191	8327	4684
192	8361	4635
193	8400	4589
194	8435	4542
195	8467	4492
196	8496	4442
197	8527	4393
198	8559	4344
199	8591	4295
200	8621	4246
201	8655	4199
202	8685	4150
203	8716	4101
204	8749	4054
205	8791	4011
206	8823	3964
207	8852	3915
208	8888	3870
209	8920	3823
210	8955	3777
211	8988	3731
212	9017	3683
213	9048	3636
214	9079	3589
215	9109	3542
216	9140	3496
217	9170	3449
218	9201	3403
219	9234	3357
220	9266	3312
221	9299	3267
222	9339	3224
223	9397	3188
224	9440	3146
225	9506	3112
226	9586	3082
227	9621	3038
228	9659	2994
229	9694	2950
230	9730	2906
231	9765	2862
232	9803	2819
233	9836	2774
234	9872	2730
235	9908	2686
236	9942	2643
237	9984	2601
238	10027	2559
239	10069	2517
240	10103	2473
241	10134	2428
242	10166	2384
243	10198	2340
244	10232	2297
245	10266	2253
246	10298	2209
247	10329	2165
248	10363	2122
249	10397	2079
250	10426	2035
251	10454	1991
252	10482	1947
253	10511	1903
254	10543	1860
255	10576	1817
256	10607	1774
257	10637	1731
258	10664	1688
259	10694	1645
260	10723	1602
261	10752	1559
262	10780	1516
263	10809	1474
264	10839	1431
265	10866	1388
266	10893	1346
267	10921	1304
268	10948	1261
269	10980	1220
270	11014	1178
271	11047	1137
272	11083	1096
273	11118	1055
274	11154	1014
275	11182	972
276	11213	931
277	11244	889
278	11277	848
279	11307	807
280	11338	766
281	11371	725
282	11400	684
283	11433	644
284	11464	603
285	11495	562
286	11525	522
287	11558	481
288	11592	441
289	11631	401
290	11701	361
291	11747	321
292	11777	281
293	11809	241
294	11839	200
295	11872	160
296	11902	120
297	11931	80
298	11963	40
299	11993	0
